id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
allen_cahn__global_only__22,allen_cahn,global_only,22,0.11970822505563236,0.03121585966361754,-0.08849236539201483,0.18892926741784677,0.05524321625801121
burgers__global_only__22,burgers,global_only,22,0.5242268047630285,0.4770517459911524,-0.04717505877187611,1.831811971180354,1.925014661891121
allen_cahn__full_exp__22,allen_cahn,full_exp,22,0.04623218689037636,0.0323837732720363,-0.013848413618340057,0.09575952230428925,0.07172534260654428
allen_cahn__neither__22,allen_cahn,neither,22,0.13686546671663732,0.03193348706462586,-0.10493197965201147,0.21642085937177102,0.06780105637821332
wave__local_only__22,wave,local_only,22,0.19299120758728175,0.023474498835904082,-0.16951670875137767,0.24721694176858458,0.026902202659589425
burgers__full_quad__22,burgers,full_quad,22,0.4717136546366869,0.4423018400953907,-0.02941181454129621,1.8131411146989467,1.9326313148545151
wave__full_quad__22,wave,full_quad,22,0.1830114983099429,0.022280471555121466,-0.16073102675482143,0.2605323320342211,0.03232636059312026
burgers__neither__22,burgers,neither,22,0.523039547299474,0.4885001567030561,-0.03453939059641792,1.8423333654278229,1.939104105298123
burgers__full_exp__22,burgers,full_exp,22,0.38440145822058236,0.3376782841451754,-0.04672317407540694,1.7893830415550127,1.807876570255816
allen_cahn__full_quad__22,allen_cahn,full_quad,22,0.05084755025644639,0.022883355874721383,-0.027964194381725007,0.11452142305162222,0.0525842726592991
helmholtz__local_only__22,helmholtz,local_only,22,0.10591553877628486,0.03214024109827938,-0.07377529767800547,0.14459740989001113,0.049111129327970945
wave__global_only__22,wave,global_only,22,0.27855859011997025,0.1878047618168297,-0.09075382830314055,0.5496097021440739,0.374905001466689
helmholtz__full_exp__22,helmholtz,full_exp,22,0.03917794783180763,0.0027632634305661086,-0.03641468440124152,0.05341974520853405,0.005375480045153352
helmholtz__neither__22,helmholtz,neither,22,0.11951876883336363,0.09087952425577712,-0.0286392445775865,0.2294545362932342,0.19641346277679927
helmholtz__global_only__33,helmholtz,global_only,33,0.09219320926281409,0.005227799007494652,-0.08696541025531944,0.19067128983949344,0.01825731157919974
allen_cahn__full_quad__33,allen_cahn,full_quad,33,0.022435389929109165,0.03992985319435552,0.017494463265246354,0.04490737950883017,0.03484687062118608
burgers__global_only__33,burgers,global_only,33,0.1429492882203698,0.15943512672917545,0.01648583850880564,1.2883175729833791,1.6604631239257084
burgers__full_quad__33,burgers,full_quad,33,0.1601235012799245,0.15223633814140103,-0.007887163138523473,1.5455522945588296,1.4376394437560835
wave__full_quad__33,wave,full_quad,33,0.06132994804297938,0.028833623220662262,-0.03249632482231712,0.10974829301789996,0.04133224490649295
allen_cahn__neither__33,allen_cahn,neither,33,0.06432047104463623,0.02707984146315521,-0.03724062958148102,0.1230191450382998,0.04979038241736947
burgers__neither__33,burgers,neither,33,0.2382394931154837,0.20455969341609642,-0.03367979969938728,1.7233232008128714,1.8370176895776145
helmholtz__full_quad__33,helmholtz,full_quad,33,0.01752430789901636,0.012022468323579031,-0.005501839575437329,0.024194907552555246,0.012204495280368405
burgers__local_only__33,burgers,local_only,33,0.15600323997058768,0.13572972125582175,-0.02027351871476593,1.3474143904342935,1.402007238776955
burgers__full_exp__33,burgers,full_exp,33,0.2463947898642357,0.24297210517286458,-0.003422684691371136,1.7350988456717955,1.8042859236633677
allen_cahn__full_exp__33,allen_cahn,full_exp,33,0.0223574214492471,0.013463569162707328,-0.008893852286539772,0.038811571068889106,0.02523782988922725
helmholtz__full_exp__33,helmholtz,full_exp,33,0.01688176816934356,0.006535041551546245,-0.010346726617797314,0.024577142857674476,0.006212341078478857
wave__local_only__33,wave,local_only,33,0.08218248128376636,0.0275141792815353,-0.054668302002231065,0.12378857768732154,0.03690794738009057
wave__neither__33,wave,neither,33,0.2788427532426605,0.12439446494104688,-0.1544482883016136,0.5073206708102815,0.25757439378093855
wave__full_exp__33,wave,full_exp,33,0.08290186953610233,0.027322940735838002,-0.05557892880026433,0.12804891448372846,0.03526133253703605
